Player,Rk,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2,Matches
Aaron Cresswell,112,engENG,DF,West Ham,35-145,1989,15,8,676,7.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,28,2,0.00,0.00,0.00,0.00,0.00,0.01,0.15,0.17,0.01,0.17,Matches
Aaron Ramsdale,420,engENG,GK,Southampton,26-360,1998,27,27,"2,430",27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Wan-Bissaka,537,engENG,DF,West Ham,27-164,1997,33,32,"2,884",32.0,2,3,5,2,0,0,1,0,1.2,1.2,3.2,4.4,101,132,150,0.06,0.09,0.16,0.06,0.16,0.04,0.10,0.14,0.04,0.14,Matches
Abdoulaye Doucouré,146,mlMLI,MF,Everton,32-128,1993,30,29,"2,425",26.9,3,1,4,3,0,0,5,1,3.9,3.9,2.3,6.2,40,78,91,0.11,0.04,0.15,0.11,0.15,0.14,0.09,0.23,0.14,0.23,Matches
Abdukodir Khusanov,280,uzUZB,DF,Manchester City,21-069,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Abdul Fatawu Issahaku,175,ghGHA,FW,Leicester City,21-062,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
Adam Armstrong,33,engENG,"FW,MF",Southampton,28-088,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
Adam Lallana,294,engENG,MF,Southampton,36-364,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches
Adam Smith,473,engENG,DF,Bournemouth,34-010,1991,22,17,"1,409",15.7,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,12,40,31,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Adam Webster,543,engENG,DF,Brighton,30-125,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches
Adam Wharton,547,engENG,MF,Crystal Palace,20-341,2004,20,16,"1,318",14.6,0,2,2,0,0,0,2,0,0.4,0.4,3.0,3.4,14,107,11,0.00,0.14,0.14,0.00,0.14,0.03,0.21,0.23,0.03,0.23,Matches
Adama Traoré,513,esESP,"FW,MF",Fulham,29-104,1996,33,16,"1,592",17.7,2,6,8,2,0,0,3,0,3.9,3.9,4.7,8.6,89,61,145,0.11,0.34,0.45,0.11,0.45,0.22,0.27,0.49,0.22,0.49,Matches
Albert Grønbaek,214,dkDEN,"FW,MF",Southampton,23-351,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Alejandro Garnacho,194,arARG,"MF,FW",Manchester Utd,20-312,2004,34,23,"2,146",23.8,6,2,8,6,0,0,3,0,7.2,7.2,4.5,11.7,139,56,281,0.25,0.08,0.34,0.25,0.34,0.30,0.19,0.49,0.30,0.49,Matches
Alex Iwobi,251,ngNGA,"FW,MF",Fulham,29-006,1996,35,33,"2,796",31.1,9,6,15,9,0,0,1,0,4.6,4.6,6.9,11.5,135,199,224,0.29,0.19,0.48,0.29,0.48,0.15,0.22,0.37,0.15,0.37,Matches
Alex McCarthy,338,engENG,GK,Southampton,35-157,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Palmer,401,engENG,GK,Ipswich Town,28-272,1996,11,11,990,11.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Scott,458,engENG,MF,Bournemouth,21-261,2003,18,7,709,7.9,0,0,0,0,0,0,2,0,0.7,0.7,0.8,1.5,15,49,33,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19,Matches
Alexander Isak,250,seSWE,FW,Newcastle Utd,25-230,1999,32,32,"2,577",28.6,23,6,29,19,4,4,1,0,19.9,16.8,4.3,21.1,81,80,200,0.80,0.21,1.01,0.66,0.87,0.69,0.15,0.85,0.59,0.74,Matches
Alexis Mac Allister,314,arARG,MF,Liverpool,26-136,1998,34,30,"2,575",28.6,5,5,10,5,0,0,6,0,2.8,2.8,4.6,7.4,34,174,79,0.17,0.17,0.35,0.17,0.35,0.10,0.16,0.26,0.10,0.26,Matches
Alfie Dorrington,145,engENG,DF,Tottenham,20-019,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alfie Pond,415,engENG,DF,Wolves,21-069,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ali Al Hamadi,225,iqIRQ,FW,Ipswich Town,23-069,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28,Matches
Alisson,16,brBRA,GK,Liverpool,32-219,1992,25,25,"2,238",24.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Alphonse Areola,31,frFRA,GK,West Ham,32-071,1993,24,23,"2,080",23.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Altay Bayındır,48,trTUR,GK,Manchester Utd,27-025,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Amad Diallo,131,ciCIV,"FW,MF",Manchester Utd,22-302,2002,23,17,"1,639",18.2,7,6,13,7,0,0,3,0,4.2,4.2,4.0,8.2,93,55,163,0.38,0.33,0.71,0.38,0.71,0.23,0.22,0.45,0.23,0.45,Matches
Amadou Onana,392,beBEL,MF,Aston Villa,23-266,2001,23,17,"1,378",15.3,3,0,3,3,0,0,4,0,2.1,2.1,0.3,2.4,21,60,14,0.20,0.00,0.20,0.20,0.20,0.14,0.02,0.16,0.14,0.16,Matches
Andreas Pereira,407,brBRA,MF,Fulham,29-128,1996,31,23,"1,879",20.9,2,4,6,2,0,1,7,0,3.5,2.7,4.5,7.2,27,99,78,0.10,0.19,0.29,0.10,0.29,0.17,0.21,0.38,0.13,0.34,Matches
Andrew Robertson,433,sctSCO,DF,Liverpool,31-059,1994,31,27,"2,308",25.6,0,0,0,0,0,0,3,1,1.0,1.0,4.1,5.1,58,165,95,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20,Matches
André,26,brBRA,MF,Wolves,23-297,2001,30,28,"2,249",25.0,0,0,0,0,0,0,7,0,0.4,0.4,0.7,1.1,8,95,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
André Onana,393,cmCMR,GK,Manchester Utd,29-037,1996,33,33,"2,970",33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Andrés García,193,esESP,"DF,MF",Aston Villa,22-091,2003,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Andy Irving,249,sctSCO,MF,West Ham,24-361,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches
Anthony Elanga,160,seSWE,"FW,MF",Nott'ham Forest,23-012,2002,35,28,"2,232",24.8,6,9,15,6,0,0,1,0,4.2,4.2,4.8,9.0,87,54,190,0.24,0.36,0.60,0.24,0.60,0.17,0.19,0.36,0.17,0.36,Matches
Anthony Gordon,208,engENG,FW,Newcastle Utd,24-074,2001,31,25,"2,235",24.8,6,5,11,5,1,2,2,0,8.0,6.4,4.9,11.4,111,93,197,0.24,0.20,0.44,0.20,0.40,0.32,0.20,0.52,0.26,0.46,Matches
Antoine Semenyo,461,ghGHA,FW,Bournemouth,25-122,2000,34,33,"2,933",32.6,9,5,14,9,0,0,9,0,9.3,9.3,5.8,15.1,133,106,259,0.28,0.15,0.43,0.28,0.43,0.29,0.18,0.46,0.29,0.46,Matches
Antonee Robinson,434,usUSA,DF,Fulham,27-274,1997,34,33,"2,989",33.2,0,10,10,0,0,0,8,0,0.7,0.7,4.1,4.8,114,123,265,0.00,0.30,0.30,0.00,0.30,0.02,0.12,0.15,0.02,0.15,Matches
Antony,28,brBRA,"DF,MF",Manchester Utd,25-074,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches
Antonín Kinský,283,czCZE,GK,Tottenham,22-057,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Archie Gray,210,engENG,"DF,MF",Tottenham,19-058,2006,25,16,"1,481",16.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,34,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Arijanet Muric,366,xkKVX,GK,Ipswich Town,26-183,1998,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Armando Broja,70,alALB,FW,Everton,23-241,2001,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
Armel Bella Kotchap,50,deGER,DF,Southampton,23-149,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Asher Agbinone,7,engENG,MF,Crystal Palace,19-223,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches
Ashley Young,564,engENG,"DF,FW",Everton,39-304,1985,29,17,"1,622",18.0,1,3,4,1,0,0,6,1,0.3,0.3,1.6,1.8,20,83,27,0.06,0.17,0.22,0.06,0.22,0.01,0.09,0.10,0.01,0.10,Matches
Axel Disasi,137,frFRA,DF,Aston Villa,27-059,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
Axel Tuanzebe,520,cdCOD,DF,Ipswich Town,27-176,1997,19,17,"1,446",16.1,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,9,46,8,0.00,0.06,0.06,0.00,0.06,0.01,0.02,0.03,0.01,0.03,Matches
Ayden Heaven,230,engENG,DF,Manchester Utd,18-229,2006,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bart Verbruggen,530,nlNED,GK,Brighton,22-264,2002,33,33,"2,970",33.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Ben Brereton,68,clCHI,FW,Southampton,26-021,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
Ben Chilwell,96,engENG,DF,Crystal Palace,28-139,1996,6,0,139,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,10,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18,Matches
Ben Davies,122,wlsWAL,DF,Tottenham,32-015,1993,14,12,"1,126",12.5,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,14,50,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Ben Godfrey,199,engENG,DF,Ipswich Town,27-114,1998,3,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben Johnson,263,engENG,"DF,FW",Ipswich Town,25-105,2000,22,14,"1,348",15.0,1,2,3,1,0,0,5,1,1.1,1.1,1.3,2.3,16,26,33,0.07,0.13,0.20,0.07,0.20,0.07,0.09,0.16,0.07,0.16,Matches
Ben Mee,342,engENG,DF,Brentford,35-230,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben White,548,engENG,DF,Arsenal,27-213,1997,14,10,941,10.5,0,1,1,0,0,0,2,0,0.4,0.4,0.8,1.2,11,44,28,0.00,0.10,0.10,0.00,0.10,0.04,0.08,0.12,0.04,0.12,Matches
Ben Winterburn,556,engENG,"FW,MF",Bournemouth,20-247,2004,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Benoît Badiashile,42,frFRA,DF,Chelsea,24-044,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bernardo Silva,466,ptPOR,"MF,FW",Manchester City,30-272,1994,30,26,"2,401",26.7,3,4,7,3,0,0,7,0,3.2,3.2,4.4,7.6,94,115,184,0.11,0.15,0.26,0.11,0.26,0.12,0.16,0.29,0.12,0.29,Matches
Bernd Leno,299,deGER,GK,Fulham,33-066,1992,35,35,"3,150",35.0,0,1,1,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Beto,57,gwGNB,FW,Everton,27-098,1998,27,12,"1,268",14.1,7,0,7,7,0,0,2,0,6.6,6.6,0.8,7.3,12,10,66,0.50,0.00,0.50,0.50,0.50,0.47,0.06,0.52,0.47,0.52,Matches
Bilal El Khannouss,279,maMAR,MF,Leicester City,20-364,2004,30,25,"2,003",22.3,2,3,5,2,0,0,4,0,1.1,1.1,4.1,5.2,71,119,83,0.09,0.13,0.22,0.09,0.22,0.05,0.18,0.23,0.05,0.23,Matches
Billy Gilmour,198,sctSCO,MF,Brighton,23-332,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Bobby De Cordova-Reid,126,jmJAM,FW,Leicester City,32-096,1993,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,14,15,48,0.12,0.24,0.36,0.12,0.36,0.10,0.15,0.24,0.10,0.24,Matches
Boubacar Kamara,273,frFRA,MF,Aston Villa,25-167,1999,23,17,"1,463",16.3,0,0,0,0,0,0,2,0,0.4,0.4,0.9,1.3,16,74,7,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,Matches
Boubacar Traoré,514,mlMLI,MF,Wolves,23-262,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Boubakary Soumaré,480,frFRA,MF,Leicester City,26-071,1999,28,23,"1,960",21.8,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,31,95,21,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Brajan Gruda,213,deGER,"FW,MF",Brighton,20-343,2004,18,6,508,5.6,0,3,3,0,0,0,0,0,0.4,0.4,1.5,1.9,16,17,47,0.00,0.53,0.53,0.00,0.53,0.07,0.27,0.34,0.07,0.34,Matches
Brandon Austin,37,engENG,GK,Tottenham,26-121,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Brennan Johnson,264,wlsWAL,FW,Tottenham,23-351,2001,31,23,"2,083",23.1,11,3,14,11,0,0,5,0,9.8,9.8,2.3,12.1,57,70,194,0.48,0.13,0.60,0.48,0.60,0.43,0.10,0.52,0.43,0.52,Matches
Bruno Fernandes,179,ptPOR,MF,Manchester Utd,30-243,1994,33,32,"2,758",30.6,8,9,17,5,3,3,4,2,9.5,7.1,7.6,14.7,65,281,118,0.26,0.29,0.55,0.16,0.46,0.31,0.25,0.56,0.23,0.48,Matches
Bruno Guimarães,218,brBRA,MF,Newcastle Utd,27-174,1997,35,35,"3,002",33.4,4,6,10,4,0,0,6,0,3.9,3.9,5.8,9.6,54,247,81,0.12,0.18,0.30,0.12,0.30,0.12,0.17,0.29,0.12,0.29,Matches
Bryan Mbeumo,335,cmCMR,FW,Brentford,25-275,1999,35,35,"3,144",34.9,18,6,24,13,5,5,3,0,10.8,6.9,8.0,14.9,118,128,319,0.52,0.17,0.69,0.37,0.54,0.31,0.23,0.54,0.20,0.43,Matches
Bukayo Saka,443,engENG,"FW,MF",Arsenal,23-246,2001,22,18,"1,539",17.1,6,10,16,5,1,1,3,0,6.3,5.5,6.8,12.3,82,62,233,0.35,0.58,0.94,0.29,0.88,0.37,0.40,0.77,0.32,0.72,Matches
Caleb Kporha,289,engENG,DF,Crystal Palace,18-298,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Caleb Okoli,390,itITA,DF,Leicester City,23-300,2001,18,12,"1,124",12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.0,0.6,3,32,2,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05,Matches
Callum Hudson-Odoi,241,engENG,"FW,MF",Nott'ham Forest,24-183,2000,29,25,"2,152",23.9,5,2,7,5,0,0,2,0,2.5,2.5,2.7,5.2,127,66,186,0.21,0.08,0.29,0.21,0.29,0.10,0.11,0.22,0.10,0.22,Matches
Callum Wilson,553,engENG,FW,Newcastle Utd,33-071,1992,15,1,285,3.2,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,5,3,12,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Matches
Calvin Bassey,47,ngNGA,DF,Fulham,25-129,1999,33,32,"2,894",32.2,1,0,1,1,0,0,7,0,1.0,1.0,0.1,1.2,36,107,15,0.03,0.00,0.03,0.03,0.03,0.03,0.00,0.04,0.03,0.04,Matches
Cameron Archer,30,engENG,FW,Southampton,23-292,2001,32,13,"1,373",15.3,2,0,2,2,0,1,0,0,5.1,4.3,0.4,4.6,19,14,64,0.13,0.00,0.13,0.13,0.13,0.33,0.02,0.36,0.28,0.31,Matches
Cameron Burgess,75,auAUS,DF,Ipswich Town,29-200,1995,17,15,"1,451",16.1,0,2,2,0,0,0,0,0,0.7,0.7,0.5,1.2,2,41,4,0.00,0.12,0.12,0.00,0.12,0.04,0.03,0.08,0.04,0.08,Matches
Caoimhín Kelleher,276,ieIRL,GK,Liverpool,26-167,1998,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Alcaraz,13,arARG,MF,Southampton,22-160,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches
Carlos Baleba,44,cmCMR,MF,Brighton,21-126,2004,31,28,"2,403",26.7,3,1,4,3,0,0,8,1,3.0,3.0,1.3,4.3,40,111,27,0.11,0.04,0.15,0.11,0.15,0.11,0.05,0.16,0.11,0.16,Matches
Carlos Forbs,185,ptPOR,"MF,FW",Wolves,21-051,2004,10,1,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,10,8,28,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches
Carlos Soler,476,esESP,"MF,FW",West Ham,28-127,1997,29,14,"1,358",15.1,1,1,2,1,0,0,5,0,1.7,1.7,1.2,2.9,16,52,33,0.07,0.07,0.13,0.07,0.13,0.11,0.08,0.19,0.11,0.19,Matches
Carlos Vinícius,533,brBRA,"MF,FW",Fulham,30-045,1995,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
Casemiro,86,brBRA,MF,Manchester Utd,33-075,1992,22,16,"1,335",14.8,1,0,1,1,0,0,3,0,1.7,1.7,2.3,3.9,4,70,26,0.07,0.00,0.07,0.07,0.07,0.11,0.15,0.27,0.11,0.27,Matches
Chadi Riad,429,maMAR,DF,Crystal Palace,21-326,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Charlie Taylor,498,engENG,DF,Southampton,31-233,1993,7,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Cheick Doucouré,147,mlMLI,MF,Crystal Palace,25-121,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Chidozie Obi-Martin,387,dkDEN,FW,Manchester Utd,17-161,2007,6,1,155,1.7,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,2,1,12,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35,Matches
Chiedozie Ogbene,389,ieIRL,FW,Ipswich Town,28-008,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Chiquinho,97,ptPOR,MF,Wolves,25-093,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches
Chris Richards,431,usUSA,DF,Crystal Palace,25-042,2000,21,19,"1,652",18.4,1,0,1,1,0,0,4,1,1.3,1.3,0.1,1.4,5,35,1,0.05,0.00,0.05,0.05,0.05,0.07,0.01,0.08,0.07,0.08,Matches
Chris Wood,558,nzNZL,FW,Nott'ham Forest,33-153,1991,33,32,"2,689",29.9,19,3,22,16,3,3,1,0,11.7,9.3,2.5,11.8,13,36,87,0.64,0.10,0.74,0.54,0.64,0.39,0.08,0.47,0.31,0.40,Matches
Christian Eriksen,166,dkDEN,MF,Manchester Utd,33-084,1992,21,11,"1,028",11.4,0,2,2,0,0,0,4,0,0.4,0.4,2.9,3.2,12,53,29,0.00,0.18,0.18,0.00,0.18,0.03,0.25,0.28,0.03,0.28,Matches
Christian Nørgaard,383,dkDEN,MF,Brentford,31-060,1994,31,31,"2,549",28.3,5,3,8,5,0,0,6,1,3.9,3.9,1.0,5.0,12,133,37,0.18,0.11,0.28,0.18,0.28,0.14,0.04,0.17,0.14,0.17,Matches
Christian Walton,536,engENG,GK,Ipswich Town,29-181,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christopher Nkunku,378,frFRA,FW,Chelsea,27-176,1997,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.20,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,Matches
Cody Gakpo,191,nlNED,FW,Liverpool,26-002,1999,32,20,"1,717",19.1,9,3,12,9,0,0,5,0,6.5,6.5,3.5,10.0,51,52,253,0.47,0.16,0.63,0.47,0.63,0.34,0.18,0.52,0.34,0.52,Matches
Cole Palmer,402,engENG,MF,Chelsea,23-003,2002,34,33,"2,921",32.5,15,8,23,11,4,5,6,0,17.0,13.0,10.0,23.0,110,200,169,0.46,0.25,0.71,0.34,0.59,0.52,0.31,0.83,0.40,0.71,Matches
Conor Bradley,65,nirNIR,DF,Liverpool,21-304,2003,16,4,567,6.3,0,1,1,0,0,0,3,0,0.6,0.6,0.5,1.1,28,26,31,0.00,0.16,0.16,0.00,0.16,0.09,0.07,0.17,0.09,0.17,Matches
Conor Chaplin,93,engENG,"MF,FW",Ipswich Town,28-082,1997,19,8,712,7.9,1,1,2,1,0,0,2,0,1.2,1.2,0.7,1.9,11,26,20,0.13,0.13,0.25,0.13,0.25,0.15,0.09,0.24,0.15,0.24,Matches
Conor Coady,103,engENG,DF,Leicester City,32-073,1993,19,16,"1,444",16.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,30,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Conor Townsend,512,engENG,DF,Ipswich Town,32-066,1993,6,3,335,3.7,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,2,8,13,0.00,0.27,0.27,0.00,0.27,0.01,0.18,0.18,0.01,0.18,Matches
