Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Conor Coady,103,engENG,DF,Leicester City,32-073,1993,16.0,0,1,1,100.0,0.06,0.06,0.00,0.00,9.2,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Conor Townsend,512,engENG,DF,Ipswich Town,32-066,1993,3.7,0,1,0,0.0,0.27,0.00,0.00,N/a,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Craig Dawson,124,engENG,DF,Wolves,35-003,1990,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,8.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
Cristian Romero,440,arARG,DF,Tottenham,27-012,1998,15.7,1,16,8,50.0,1.02,0.51,0.06,0.13,9.1,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches
Crysencio Summerville,492,nlNED,"FW,MF",West Ham,23-191,2001,8.7,1,14,4,28.6,1.60,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
Curtis Jones,266,engENG,"MF,DF",Liverpool,24-099,2001,17.0,3,31,12,38.7,1.83,0.71,0.10,0.25,16.9,0,0,0,4.1,4.1,0.13,-1.1,-1.1,Matches
Daichi Kamada,272,jpJPN,MF,Crystal Palace,28-277,1996,15.8,0,20,4,20.0,1.26,0.25,0.00,0.00,20.3,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
Dan Burn,76,engENG,DF,Newcastle Utd,33-000,1992,34.0,1,20,5,25.0,0.59,0.15,0.05,0.20,9.9,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
Dane Scarlett,454,engENG,"FW,MF",Tottenham,21-046,2004,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,13.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Dango Ouattara,399,bfBFA,FW,Bournemouth,23-087,2002,22.3,7,62,20,32.3,2.78,0.90,0.11,0.35,13.5,1,0,0,8.4,8.4,0.14,-1.4,-1.4,Matches
